,id,class,text,kazakh
76,76,11,My card hasn't shown up yet.,Менің картам әлі келмеді. 
77,77,11,Does the card you sent have a tracking number?,Сіз жіберген картада іздендіру нөмірі бар ма? 
78,78,11,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,Менің карточкам әлі поштамен келген жоқ. Мен оны екі апта бұрын тапсырдым. Мен не істей аламын? 
79,79,11,maximum how many days get the courier?,Максималды қанша күн ішінде курьерге жету керек? 
80,80,11,Is there a reason my new card hasn't arrived yet?,Жаңа картам әлі келмегенінің себебі бар ма? 
81,81,11,"I've been waiting a while for my card, is there a way to know when it will arrive?","Мен картамды көп уақыт күттім, ол қашан келетінін білудің бір жолы бар ма? "
82,82,11,How can I track my card's delivery?,Картамның жеткізілуін қалай қадағалаймын? 
83,83,11,Can I track the card that was just sent to me?,Мен жаңадан жіберген картаны іздей аламын ба? 
84,84,11,"If I ordered my new card last week, how much longer should I wait to receive it?","Егер мен өткен аптада жаңа картамды тапсырсам, оны алу үшін қанша уақыт күтуім керек? "
85,85,11,"What's go on, where is my new card?","Не болды, менің жаңа картам қайда? "
86,86,11,Where is my new card if I haven't received it yet?,"Егер әлі алған жоқ болсам, жаңа картам қайда? "
87,87,11,Where is my card?,Менің карточкам қайда? 
88,88,11,Can you tell me why I haven't received my new card yet?,Жаңа картамды неге әлі алған жоқпын айтып бере аласың ба? 
89,89,11,Is there a way to track my card?,Менің картамды іздеуге бір жол бар ма? 
90,90,11,Is there a way to track the new card you sent me?,Сіз маған жіберген жаңа картаны іздеуге бір жол бар ма? 
91,91,11,I'm still waiting for my card.,Мен әлі күнге дейін картамды күтіп тұрмын. 
92,92,11,What do I need to do to get my new card which I have requested 2 weeks ago?,Мен 2 апта бұрын сұраған жаңа картамды алу үшін не істеуім керек? 
93,93,11,WHAT IS THE SOLUTION OF THIS PROBLEM,Бұл мәселені шешудің жолы қандай? 
94,94,11,Could I get tracking on the card?,Картаны іздеуге болады ма? 
95,95,11,Can you help me track my card?,Картамды іздеуге көмектесе аласыз ба? 
96,96,11,Shouldn't my new card be here by now?,Жаңа картам қазірдің өзінде мұнда болуы керек емес пе? 
97,97,11,Is there a reason my new card hasn't arrived?,Жаңа картамның келмеуінің себебі бар ма? 
98,98,11,"I would like to track a card sent to me, how do I do that?",Мен маған жіберілген картаны қалай іздеймін? 
99,99,11,Is there a tracking number for the card?,Картаның іздендіру нөмірі бар ма? 
100,100,11,can you share card tracking number?,картаның нөмірін бөлісесіз бе? 
101,101,11,"I have not received my card and it's been a week, what do I do?","Мен картамды алмадым және бір апта өтті, не істеу керек? "
102,102,11,Is there a way I can check on the card on route to me?,Менен бара жатқанда картаны тексерудің бір жолы бар ма? 
103,103,11,When will my new card arrive?,Жаңа картам қашан келеді? 
104,104,11,Why haven't I received my new card yet?,Неге мен жаңа картамды әлі алған жоқпын? 
105,105,11,What is the expected delivery date of my card?,Менің картамды жеткізу мерзімі қандай? 
106,106,11,My card hasn't came in the mail yet?,Менің карточкам әлі поштаға келген жоқ па? 
107,107,11,I haven't received my card.,Мен картамды әлі алған жоқпын. 
108,108,11,Is it possible for me to track the card is was mailed to me?,Карта маған пошта арқылы жіберілгендіктен хабарласа аламын ба? 
109,109,11,When will my new card be delivered?,Жаңа картам қашан беріледі? 
110,110,11,I was issued a card about a week ago. why hasn't it come in yet?,Бір апта бұрын маған карта берілді. Неге ол әлі келген жоқ? 
111,111,11,Can you please tell me where my card is? I ordered it 2 weeks ago!,Картамның қайда екенін айта аласыз ба? Мен оны 2 апта бұрын тапсырдым! 
112,112,11,I still haven't received my card in the mail,Мен әлі күнге дейін пошта арқылы картамды алмадым. 
113,113,11,I'm still waiting for my card that was issued a week ago. What should I do?,Мен әлі күнге дейін бір апта бұрын берілген картамды күтіп тұрмын. Не істеуім керек? 
114,114,11,I still haven't gotten my new card.  When will it get here?,Мен әлі күнге дейін жаңа картамды алмадым. Бұл қашан келеді? 
115,115,11,Do you have a tracking number for the card I was sent?,Менен жіберілген картаның нөмірін білесіз бе? 
116,116,11,How do I track the card you sent to me?,Сіз жіберген картаны қалай іздеймін? 
117,117,11,Is my new bank card on the way and is there a way to track it?,Жаңа банктік картам келе жатыр ма және оны іздеуге жол жоқ па? 
118,118,11,Could you send me and up date on the arrival of my card?,Менен картасы келген кезде хабарласа аласыз ба? 
119,119,11,How long does it take to recieve my new card?,Жаңа картамды алуға қанша уақыт кетеді? 
120,120,11,My card has not come in the mail yet.,Менің карточкам әлі поштаға келіп жетпеді. 
121,121,11,What's the card you sent me's tracking number?,Сіз маған жіберген картаның іздендіру нөмірі қандай? 
122,122,11,i havent got my card,Менде картам жоқ 
123,123,11,Why hasn't my card arrived yet?,Неге менің картам әлі келген жоқ? 
124,124,11,I thought I would have received my new card at this point.,Мен жаңа картамды осы уақытта аламын деп ойладым. 
125,125,11,How long until my new card gets here?,Жаңа картасыма қанша уақыт кетеді? 
126,126,11,How much longer until I get my new card?,Жаңа картамды алғанға дейін қанша уақыт? 
127,127,11,Am I able to track a card that has already been sent?,Мен бұрын-соңды жіберілген картаны іздей аламын ба? 
128,128,11,Is it possible to track the card you sent me?,Сіз маған жіберген картаны іздеуге бола ма? 
129,129,11,How long will it be to get this new card?,Жаңа картаны алуға қанша уақыт кетеді? 
130,130,11,how can i track card you sent,Сіз жіберген картаны қалай қадағалай аламын 
131,131,11,Can the card was sen to me be tracked?,Мен үшін картаны іздеуге болады ма? 
132,132,11,why have i not got my new card?,Неге мен жаңа картамды алмадым? 
133,133,11,I need to track the card sent to me.,Маған жіберілген картаны іздеу керек. 
134,134,11,"It's been two weeks and I haven't gotten my card, what do I do?","Екі апта өтті, мен картамды алмадым, не істеймін? "
135,135,11,I was expecting my new card by now.,Мен жаңа картамды күтіп жүрдім. 
136,136,11,Where is the tracking number for the card?,Картаның іздендіру нөмірі қайда? 
137,137,11,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,"Мен бір апта бұрын жаңа картаға ие болдым, бірақ әлі оны алмадым. Мен оны алғанға дейін қанша уақыт өтеді? "
138,138,11,Can I track the card that you sent me in the mail?,Сіз маған пошта арқылы жіберген картаны іздеуге бола ма? 
139,139,11,Can you tell me if I can track the card you sent me?,Сіз маған жіберген картаны іздеуге бола ма? 
140,140,11,Why have I not gotten my new card?,Неге мен жаңа картамды алмадым? 
141,141,11,I'm still waiting on my new card to be delivered!,Мен әлі күнге дейін жаңа картамды күтіп тұрмын! 
142,142,11,My new card isn't here and it was issued a week ago.,Жаңа картам мұнда жоқ және ол бір апта бұрын шығарылды. 
143,143,11,"I was supposed to receive my new card by now, but it hasn't came in.","Мен жаңа картамды алдырғым келді, бірақ ол әлі келген жоқ. "
144,144,11,Is a tracking number available for the card that was just sent?,Жаңадан жіберілген картаның ізденуіш нөмірі бар ма? 
145,145,11,Why haven't I gotten my new card?,Неге мен жаңа картамды алмадым? 
146,146,11,Was there a number to track that I could get?,Мен таба алатын нөмір бар ма? 
147,147,11,How much longer is it going to take to get my new card?,Жаңа картамды алуға қанша уақыт кетеді? 
148,148,11,I haven't gotten my credit card in the mail.,Менде несиелік картасы жоқ. 
149,149,11,My card hasn't arrived yet. What do I do?,Менің картам әлі келген жоқ. Не істесем де болады? 
150,150,11,"My card still hasn't arrived after two weeks, now what?","Менің картам әлі екі аптадан кейін жетпей қалды, енді не? "
151,151,11,My card appears to have never arrived?,Менің карточкам ешқашан келген жоқ сияқты? 
152,152,11,My card never arrived.,Менің картам ешқашан келмеді. 
153,153,13,My card has been found. Is there any way for me to put it back into the app?,Менің карточкам табылды. Мен оны қосымшаға қайта қосуға мүмкіндік бар ма? 
154,154,13,I was able to find my card. How to I go about putting it into my app?,Мен картамды таба алдым. Оны қосымшаға қалай қосу керек? 
155,155,13,how do I get my card to show in the app?,картамды қосымшаға қалай түсіру керек? 
156,156,13,I just got my card.  It's not linked yet--how do I do that?,Мен тек карточкамды алдым. Бұл әлі байланысты емес - қалай істеймін? 
157,157,13,"lost card found, want to put it back in app","жоғалған карта табылды, оны қосымшаға қайта қосуды қалайсыз "
158,158,13,"I just got a card, how can I add it to the app?","Мен жаңа ғана карта алдым, оны қалай қосымшаға қосуға болады? "
159,159,13,Is there any way to see my card in the app?,Қолданбада менің картамды көрудің жолы бар ма? 
160,160,13,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,"Егер жоғалған картаны тапсам, оны тастау керек пе? Я болмаса картаны қайтадан белсендіріп, оны жалғастыра аламын ба? "
161,161,13,I found my card. How can I put it into my app?,Мен карточкамды таптым. Оны қолданбама қалай қосуға болады? 
162,162,13,How do I make my card show up in the app?,Картамды қосымшаға қалай түсіремін? 
163,163,13,Can you show me where to link the new card?,Жаңа картаны қай жерге қосу керектігін көрсете аласыз ба? 
164,164,13,I found my old card. Can I link it back into the app?,Мен ескі картамды таптым. Қолданбаға қосып бере аламын ба? 
165,165,13,"Show me how to link the new card,",Жаңа картаны қалай байланыстыру керектігін көрсетіңіз. 
166,166,13,How do I add an existing card to the app?,Қолданбаға бар картаны қалай қосу керек? 
167,167,13,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,"Ақыры картамды алдым. Енді оны байланыстыруды қалаймын. Бұл сенің істегенің бе, әлде мен де істей аламын ба? "
168,168,13,How do I link one of your card that I already have?,Менде бар картаңызды қалай байланыстыруға болады? 
169,169,13,If I have a physical card can I link it?,"Егер физикалық картам болса, оны байланыстыруға бола ма? "
170,170,13,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,"Мен жоғалған картамды таңертең жағымның кішігінде таптым, сондықтан оны қайтадан қосуды сұраймын. "
171,171,13,Can I add a card that I just found (again) to the app?,Қолданбаға жаңа ғана тапқан картаны қосуға бола ма? 
172,172,13,How can I make my card show up in the app?,Мен қалай картамды қосымшаға түсіре аламын? 
173,173,13,"I would like to re-activate my card, it was previously reported  lost but I found it this morning.","Мен картамды қайтадан белсендіргім келеді, ол бұрын жоғалған деп мәлімделген, бірақ мен оны бүгін таңертең таптым. "
174,174,13,"Okay, I found my card, can I put it back in the app?","Мен картамды таптым, оны қосымшаға қайта қойсам болады. "
175,175,13,Can I reactivate a card?,Картаны қайта қосуға бола ма? 
176,176,13,I would like to reactivate a card and wondered if that could be done?,Мен картаны қайта қосуды қалаймын және оны жасай ала ма деп ойладым. 
177,177,13,"I got my card now, how do I make it show up in the app?","Мен картамды алдым, оны қалай қолданбаға қосуға болады? "
178,178,13,How do I link an existing card?,Қолданыстағы картаны қалай байланыстыру керек? 
179,179,13,How do I link a new card in the app?,Жаңа картаны қосымшаға қалай қосу керек? 
180,180,13,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?","Мен жоғалған деп ойлаған карта жағымда ғана болды, сондықтан мен оны қайтадан іске қосуға болады, өйткені мен оны бүгін таңертең таптым? "
181,181,13,I already have a card and want to link it,Менде карта бар және оны қосуды қалаймын 
182,182,13,Can you please reactivate my card?,Менің картамды қайтадан белсендіре аласыз ба? 
183,183,13,Where do I go to add a new card?,Жаңа картаны қай жерге қосу керек? 
184,184,13,I want my card I just received to show up in the app. How do I do that?,Мен жаңадан алған картамды қосымшаға көрсетуді қалаймын. Мен мұны қалай істей аламын? 
185,185,13,"I received my card, how do I get it to show in the app?","Мен картамды алдым, оны қалай қолданбаға көрсету керек? "
186,186,13,If I have a credit card with you how I get set up to link to it?,"Егер менде сізбен несиелік карта болса, оны қалай қосып алуға болады? "
187,187,13,How do I add my new card?,Жаңа картамды қалай қосу керек? 
188,188,13,"I want to reactivate my card, I thought I had lost it but found it again this morning.","Мен картамды қайта қосуды қалаймын, мен оны жоғалттым деп ойладым, бірақ бүгін таңертең оны қайта таптым. "
189,189,13,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.","Мен картаны қайта қосуға тиіспін, картамды жоғалтып алдым, бірақ жағымда кездестім. "
190,190,13,My card is no longer lost. How do I enter it back into the app?,Мен енді картамды жоғалтпадым. Оны қосымшаға қалай қайта қосу керек? 
191,191,13,"I want to reactivate my card, I thought I had lost it but found it again in my jacket.","Мен картамды қайта қосуды қалаймын, оны жоғалттым деп ойладым, бірақ оны жағымда таптым. "
192,192,13,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.","Картамды қайтадан қосуға бола ма? Бұрын оны жоғалтып алғанын хабарлаған едім, бірақ қазір қауіпсіз және дұрыс деп таптым. "
193,193,13,How do I reactivate a card I thought I lost?,Жоғалғанын ойлаған картаны қалай қайта қосу керек? 
194,194,13,Help me figure out how to link the new card.,Жаңа картаны қалай байланыстыруды анықтауға көмектесіңіз. 
195,195,13,I found my lost card. Am I still able to use it?,Мен жоғалған картамды таптым. Мен оны әлі пайдалана аламын ба? 
196,196,13,Will I need a new card or can I put my old card back into the app?,"Жаңа карта керек пе, әлде бұрынғы картамды қосымшаға қайта сала аламын ба? "
197,197,13,Is there a way to link the card i just got?,Мен жаңа ғана алған картаны қосудың бір жолы бар ма? 
198,198,13,How do I add a new card?,Жаңа картаны қалай қосу керек? 
199,199,13,"I want to reactivate my card, I found it after thinking it was lost.","Мен картамды қайта қосуды қалаймын, жоғалған деп ойлағаннан кейін таптым. "
200,200,13,Can I put my old card back in the app?,Ескі картамды қосымшаға қайта сала аламын ба? 
201,201,13,"I got a new card, how do I link it?","Менде жаңа карта бар, оны қалай байланыстыру керек? "
202,202,13,I found the card I thought I lost this morning. Can I reactivate this card?,Мен бүгін таңертең жоғалтып алдым деп ойлаған картаны таптым. Мен осы картаны қайтадан қосуға бола ма? 
203,203,13,How do i go about linking a new card?,Жаңа картаны қалай байланыстыруға болады? 
204,204,13,how do i get the card linked,картаны қалай қосып аламын 
205,205,13,"I have one of your cards, but I don't know how to link it.","Менде сіздің картаңыз бар, бірақ оны қалай байланыстыруды білмеймін. "
206,206,13,how do I link an old card?,ескі картаны қалай байланыстыру керек? 
207,207,13,I received my card. How do I link it to the app?,Мен карточкамды алдым. Оны қосымшаға қалай қосу керек? 
208,208,13,"Now that I have my card, how do I connect it to the app?",Енді картамды қалай қолданбаға қосуға болады? 
209,209,13,How do I add the card I just received to show up in the app?,Қолданбаға кіру үшін жаңадан алған картамды қалай қосу керек? 
210,210,13,"I want to reactivate my card, I thought I had lost it but I found it.","Мен картамды қайта қосуды қалаймын, оны жоғалттым деп ойладым, бірақ таптым. "
211,211,13,What do I need to do to link my new card for my account?,Жаңа картамды тіркелгіме қосу үшін не істеу керек? 
212,212,13,Can I add a card to back into the app?,Қолданбаға картаны қосуға болады ма? 
213,213,13,I want to link my new card. Can you help?,Жаңа картамды қосуды қалаймын. Сіз көмектесе аласыз ба? 
214,214,13,What is the process to link the new card?,Жаңа картаны қосу процесі қандай? 
215,215,13,"I found my card, am I able to put it back into the app?","Мен картамды таптым, оны қосымшаға қайта қостыра аламын ба? "
216,216,13,"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?","Мен жоғалған немесе ұрланған картамды таптым, бірақ менің тіркелгімге кіру үшін маған пошта арқылы жіберілген жаңа картаны қосу керек пе? "
217,217,13,Where can I link a new card?,Жаңа картаны қайдан байланыстыруға болады? 
218,218,13,How do I add a card on to the app?,Қолданбаға картаны қалай қосу керек? 
219,219,13,"I found my card in my jacket this morning, so can I reactivate it?","Мен картамды таңертең жағымда таптым, сондықтан оны қайта қосуға бола ма? "
220,220,13,"I've obtained the card, how do I enable it on the app?","Мен картаны алдым, оны қалай қолданбадан қосуға болады? "
221,221,13,I need to find the card I received in the app.,Мен қолданбадан алған картаны табуым керек. 
222,222,13,How do I get my card on the app?,Мен картамды қалай қолданбаға енгіземін? 
223,223,13,"In the app, how can I make it show the new card that arrived?",Қолданбада жаңа картаны қалай көрсету керек? 
224,224,13,How do I link my new card?,Жаңа картамды қалай байланыстыру керек? 
225,225,13,Can I activate a card in the app?,Қолданбадағы картаны қосуға бола ма? 
226,226,13,"I want to link to my card card with you, how?",Мен сіздің картаңызбен қалай байланысқанымды қалаймын? 
227,227,13,I would like to link my card to my account.,Мен картамды тіркелгіме қосуды қалаймын. 
228,228,13,"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.","Мен картамды жоғалттым деп ойладым, сондықтан оны тоқтаттым, бірақ жақында оны жағымда таптым және картаны қалпына келтіруді қалаймын. "
229,229,13,How can I link the new card?,Жаңа картаны қалай байланыстыруға болады? 
230,230,13,I got a new card and can't find where to link it.,"Менде жаңа карта бар, оны қайдан байланыстыруды таба алмаймын. "
231,231,13,"Hey, I have my card, how do I get it to show in the app?","Менде картам бар, оны қалай қолданбаға түсіре аламын? "
232,232,13,Where in the app do I go to make my new card show up?,Жаңа картамды көрсету үшін қолданбадағы қай жерге барсам болады? 
233,233,13,Where do I scan my card?,Картамды қайдан сканерлеу керек? 
234,234,13,Can I reactivate my card? I reported it lost and found it this morning in my jacket.,Картамды қайтадан қосуға бола ма? Мен оны жоғалтып алдым және бүгін таңертең жағымда таптым. 
235,235,13,Can I link my card I previously received?,Бұрын алған картамды қосып бере аламын ба? 
236,236,13,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.","Мен картамды қайта қосуды қалаймын, мен оны жоғалттым деп ойладым, бірақ бүгін таңертең оны жағымда таптым. "
237,237,13,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.","Мен картамды қайтадан іске қосып қойдым, ол дұрыс емес деп ойладым, бірақ оянған кезде оны жамылғымда қалдырғанымды білдім. "
238,238,13,You sent me a card and now I want to link it.,"Сіз маған карта жібердіңіз, мен оны қосып алғым келеді. "
239,239,13,How do I add my new card to the app?,Жаңа картамды қосымшаға қалай қосу керек? 
240,240,13,Can I add a card back to the app?,Қолданбаға картаны қосуға бола ма? 
241,241,13,What if I want to add a card I already have to the app?,Егер мен қосымшаға өзімнің бар картамды қосуды қаласам не болады? 
242,242,13,"I recently reported my card as missing/lost, and I just found it. Can I still use it?","Мен жақында картамды жоғалған деп хабарладым, мен оны таптым. Мен оны әлі де пайдалана аламын ба? "
243,243,13,"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.","Мен картаны қайтадан қосуға болады, өтінемін, мен таба алмадым, бірақ ол менің жақта кішігірімде болған. "
244,244,13,Is there a way to link cards if I have one of yours?,"Егер менде сіздің карточкаңыз болса, оны байланыстырудың жолы бар ма? "
245,245,13,If my card was lost or stolen can I re-link it?,"Егер картам жоғалып кетсе немесе ұрланса, оны қайта қосуға бола ма? "
246,246,13,How do I link a new card to an existing one?,Жаңа картаны қолданыстағысына қалай байланыстыруға болады? 
247,247,13,How do I link a new payment card?,Жаңа төлем картасын қалай байланыстыру керек? 
248,248,13,I would like to reactivate my card that I previously reported lost. I located the card this morning.,Мен бұрын жоғалған деп мәлімдеген картамды қайтадан қосуды қалаймын. Мен бүгін таңертең картаны таптым. 
249,249,13,"Card has been received, how will it show up on the app?","Карта қабылданды, ол қосымшада қалай көрінеді? "
250,250,13,Can I re-link a lost card with the app?,Жоғалған картаны қосымшаға қайта қосуға бола ма? 
251,251,13,What do I do to link my new card?,Жаңа картамды қосу үшін не істеу керек? 
252,252,13,Is it possible to link a new card?,Жаңа картаны қосу мүмкін бе? 
253,253,13,I deactivated my card but would like to reactivate it.,"Мен картамды өшірдім, бірақ оны қайта қосуды қалаймын. "
254,254,13,"I found my card that I thought I had lost, I need to reactive it, please help.","Мен жоғалтып алдым деп ойлаған картамды таптым, оны қайтадан қосу керек, көмектесіңіз. "
255,255,13,can I link a card of yours I already have?,Менде бар картаңызды қосып бере аламын ба? 
256,256,13,Can I put my found card back into the app on my phone?,Мен телефондағы қосымшаға табатын картамды қайта қойсам болады? 
257,257,13,"My card arrived but I need to make it work in the app, how do I do that?","Картам келді, бірақ оны қосымшада жұмыс істеуге мәжбүрлеуім керек, қалай істеймін? "
258,258,13,"I found the card that I thought I lost, and I would like to reactivate it.","Мен жоғалтып алдым деп ойлаған картаны таптым, оны қайтадан қосуды қалаймын. "
259,259,13,I found my card again. Can I put it back into the app?,Мен тағы да картамды таптым. Қолданбаға қайта қойсам болады ма? 
260,260,13,I need some help linking my new card.,Жаңа картамды қосуға көмектесуге болады. 
261,261,13,help me link my card,картамды қосуға көмектесіңіз 
