number,class,text,score,,class,average,max,min,count,,number of > average,%,number of общий average,%
30,0,How do I enable my card for transactions?,0.573438039,,29,0.545474763,0.734298284,0.302031283,151,,83,0.549668874,84,0.556291391
31,0,"My card isn't working, what should I do to activate it?",0.768213684,,30,0.480347332,0.61659604,0.185766131,147,,80,0.544217687,31,0.210884354
32,0,Please assist me with activating my recently acquired card.,0.76923961,,31,0.599564048,0.729495681,0.293518397,147,,82,0.557823129,123,0.836734694
33,0,Is there a way to activate my card without visiting a branch office?,0.645171527,,32,0.564250387,0.761822485,0.012052989,164,,87,0.530487805,104,0.634146341
34,0,What are the requirements for activating a new credit card?,0.630584472,,33,0.525762141,0.656826434,0.173962896,149,,85,0.570469799,74,0.496644295
35,0,Can you provide me with instructions on how to activate my debit card online?,0.666404529,,34,0.549179456,0.657407815,0.402501998,58,,35,0.603448276,35,0.603448276
36,0,"The activation process for my prepaid card is not functioning correctly, can you assist me in fixing it?",0.643080209,,35,0.573737109,0.710435487,0.283539451,113,,72,0.637168142,77,0.681415929
37,0,May you please guide me through the steps of activating my gift card?,0.598559725,,36,0.562483445,0.689760954,0.298914584,137,,74,0.540145985,95,0.693430657
38,0,What is the easiest way to switch on and start using my new credit/ debit/ gift/ loyalty/ reward cards?,0.481239328,,37,0.595248514,0.763607628,0.337499596,194,,99,0.510309278,158,0.81443299
39,0,How soon will I be able to use the activated Mastercard?,0.591309403,,38,0.569421103,0.740288054,0.161069279,176,,100,0.568181818,119,0.676136364
40,0,What is the required process to activate my card?,0.811858122,,39,0.531433354,0.632474846,0.38358067,131,,67,0.511450382,60,0.458015267
41,0,How long does it take to activate a new card?,0.666415441,,40,0.58613275,0.800028677,0.081827216,192,,98,0.510416667,131,0.682291667
42,0,Can I activate my card online or do I need to call someone?,0.715710731,,41,0.571977588,0.74528919,0.259051777,222,,120,0.540540541,153,0.689189189
43,0,Is there a fee for activating my new card?,0.624356159,,42,0.492568495,0.593309922,0.284205718,145,,81,0.55862069,37,0.255172414
44,0,What happens if I don't activate my new card?,0.68668798,,43,0.532355255,0.683373818,0.241348913,144,,74,0.513888889,67,0.465277778
45,0,Why do I need to activate my replacement card if it's the same account?,0.616257749,,44,0.560056879,0.707856462,0.263788037,179,,84,0.469273743,103,0.575418994
46,0,Will activating my new card cancel my old one automatically?,0.56158398,,45,0.60818644,0.729779069,0.35648686,75,,40,0.533333333,62,0.826666667
47,0,How can I activate my card quickly and easily?,0.750731049,,46,0.614259248,0.725222401,0.403411207,106,,60,0.566037736,89,0.839622642
48,0,"My new card has arrived, what do I need to do to activate it?",0.807856895,,47,0.449786011,0.639229223,0.150244292,86,,55,0.639534884,30,0.348837209
49,0,Is there a way to activate my card online?,0.743265405,,48,0.555781465,0.703254748,0.291687609,96,,52,0.541666667,56,0.583333333
50,0,Can you provide step-by-step instructions on how to activate my card?,0.793444018,,49,0.593292068,0.728549252,0.185292026,156,,89,0.570512821,118,0.756410256
51,0,Why is it important for me to activate my card before using it?,0.642274169,,50,0.350958294,0.493470882,0.142011961,194,,99,0.510309278,0,0
52,0,When will my card be activated after requesting activation assistance?,0.691000152,,51,0.602382879,0.713454823,0.297645275,68,,38,0.558823529,59,0.867647059
53,0,"I'm having trouble activating my card, can you troubleshoot the issue for me?",0.683556301,,52,0.56749318,0.685888719,0.337399787,50,,26,0.52,31,0.62
54,0,Do all cards require activation before use or only certain types?,0.585179926,,53,0.545262832,0.669955292,0.357101767,68,,35,0.514705882,39,0.573529412
55,0,What documents are needed to complete the process of activating a new credit or debit card?,0.541978754,,54,0.406450674,0.554329721,0.143269923,132,,71,0.537878788,3,0.022727273
56,0,"How will I know when the activation process of your new credit or debit is complete; Will anyone contact me after this process is done, and if so, how long does that take normally?.",0.422447289,,55,0.589121718,0.691334101,0.333451809,169,,104,0.615384615,131,0.775147929
57,0,Could you guide me through the process of activating my card?,0.773003994,,56,0.494774274,0.605296979,0.288081485,164,,96,0.585365854,40,0.243902439
58,0,"I'm having trouble activating my card, can you help me with that?",0.761097436,,57,0.500622196,0.647433996,0.225165231,165,,94,0.56969697,74,0.448484848
59,0,"The activation of my card is not working, what should I do?",0.773764558,,58,0.467434266,0.661728703,0.20489591,155,,89,0.574193548,31,0.2
60,0,Please provide instructions on how to activate my new card.,0.799683448,,59,0.461680601,0.61438035,0.234772468,94,,56,0.595744681,24,0.255319149
61,0,I want to activate my new card as soon as possible; what steps should I take?,0.769602782,,60,0.573950072,0.734108291,0.181383353,188,,103,0.54787234,126,0.670212766
62,0,Is there a phone number for customer support in case I have problems during the activation process of my card?,0.614171712,,61,0.48917519,0.637201973,0.124374796,95,,53,0.557894737,36,0.378947368
63,0,How can I make sure that the activation of my new account goes smoothly and quickly?,0.458390321,,62,0.373513175,0.557164076,0.204293468,178,,88,0.494382022,1,0.005617978
64,0,I need help in activating this specific type of credit card; is there support available for that?,0.650044856,,63,0.552157342,0.664556967,0.450999307,37,,21,0.567567568,23,0.621621622
65,0,Can you give me an estimate on how long it takes to activate a debit card?,0.527954435,,64,0.605923994,0.710035303,0.416539118,45,,24,0.533333333,38,0.844444444
66,0,"Once I activate this credit card, when will it be ready to use?",0.600727629,,65,0.537917646,0.719626228,0.257861046,164,,84,0.512195122,82,0.5
67,1,"I'm interested in opening a savings account for my grandchildren, is there an age requirement?",0.559295586,,66,0.460388025,0.58969692,0.319251633,45,,23,0.511111111,6,0.133333333
68,1,Can my child have their own bank account or do they need to be a certain age?,0.597022808,,67,0.520295528,0.654125061,0.318819937,133,,69,0.518796992,61,0.458646617
69,1,How old do minors have to be to open an account at your bank?,0.592929507,,68,0.568193816,0.689774973,0.205095072,181,,107,0.591160221,122,0.674033149
70,1,"My son is turning 16, can he set up his own checking account with your bank?",0.474537301,,69,0.609171578,0.783884244,0.173246433,179,,86,0.480446927,137,0.765363128
71,1,What documents are needed for a minor to open a bank account with you guys?,0.461399115,,70,0.587360873,0.722917356,-0.026537266,158,,93,0.588607595,117,0.740506329
72,1,Are there any special requirements for opening an account for children under the age of 13?,0.635487606,,71,0.594704376,0.722146256,0.333290028,135,,66,0.488888889,104,0.77037037
73,1,"I'd like to start saving early for my child's future, what's the minimum age for setting up an investment portfolio with your service?",0.452463174,,72,0.580284919,0.76552845,0.154374821,307,,195,0.635179153,219,0.713355049
74,1,Is there a specific type of savings account designed specifically for children or teenagers that you offer?,0.423863374,,73,0.607358062,0.722585001,0.369970833,119,,68,0.571428571,96,0.806722689
75,1,At what age can young adults begin applying and qualifying for loans through your banking services?,0.468873554,,74,0.530476232,0.683674832,0.205815024,151,,74,0.490066225,69,0.456953642
76,1,What guidelines should I follow if I want my niece to co-sign on one of my accounts but she's still considered underage by law?,0.499057131,,75,0.538007849,0.644493274,0.390462708,29,,18,0.620689655,18,0.620689655
77,1,What is the age requirement for account holders?,0.607870043,,76,0.552480876,0.686591145,0.376377185,65,,36,0.553846154,37,0.569230769
78,1,Is there a minimum age to open an account?,0.63105806,,,,,,,,,,,
79,1,Could I set up an account for my teenage son?,0.523592232,,,,,,,,,,,
80,1,Do you have options for accounts for minors?,0.563828851,,,,,,,,,,,
81,1,Is there a maximum age limit to open an account?,0.623462561,,,,,,,,,,,
82,1,Can my young niece or nephew use your service?,0.420379891,,,,,,,,,,,
83,1,Are there any restrictions on who can open an account with you based on age?,0.615330721,,,,,,,,,,,
84,1,From what age can someone sign up for your services?,0.56030715,,,,,,,,,,,
85,1,How old do I have to be to create an account with you?,0.599719003,,,,,,,,,,,
86,1,Can minors access your banking services with parental supervision?,0.460305145,,,,,,,,,,,
87,1,What is the minimum age for opening an account with you?,0.630382056,,,,,,,,,,,
88,1,May my child have their own account with your service?,0.547738702,,,,,,,,,,,
89,1,Could I enroll my son in one of your plans?,0.301394393,,,,,,,,,,,
90,1,Do you have child accounts available?,0.537165283,,,,,,,,,,,
91,1,Is there a specific age range for registering for an account on your site?,0.57751462,,,,,,,,,,,
92,1,At what age can kids create an account by themselves in your system?,0.620779893,,,,,,,,,,,
93,1,Am I eligible to establish a savings plan for my toddler yet?,0.421492045,,,,,,,,,,,
94,1,What's the earliest appropriate age to get started with your services?,0.460491707,,,,,,,,,,,
95,1,"Can you provide details on setting up a youth account on this platform, please?",0.515418992,,,,,,,,,,,
96,1,"My teenager wants to get signed up, how would they do that?",0.441456823,,,,,,,,,,,
97,1,Is there an age restriction on creating an account for minors?,0.623192849,,,,,,,,,,,
98,1,At what age can a child open an account?,0.658052654,,,,,,,,,,,
99,1,Can I create separate accounts for each of my kids?,0.494238029,,,,,,,,,,,
100,1,Is it necessary to be a certain age to use banking services?,0.473618299,,,,,,,,,,,
101,1,What is the minimum age requirement for opening an account with you?,0.635763913,,,,,,,,,,,
102,1,Can my children have their own bank accounts?,0.534167048,,,,,,,,,,,
103,1,Are there any specific guidelines for opening accounts for minors?,0.559112459,,,,,,,,,,,
104,1,What's the youngest that someone can start using your service?,0.493356652,,,,,,,,,,,
105,1,Do you allow minors to access your banking services?,0.491082445,,,,,,,,,,,
106,1,How do I go about setting up accounts for my children?,0.532650208,,,,,,,,,,,
107,1,Is there a restriction on age to open an account with you?,0.619793729,,,,,,,,,,,
108,1,What's the minimum age requirement for an account with your service?,0.609652719,,,,,,,,,,,
109,1,Could a 10-year-old open an account with your bank?,0.545933497,,,,,,,,,,,
110,1,"Can young adults sign up for accounts too, or is there an age limit?",0.613304246,,,,,,,,,,,
111,1,At what age can my child become eligible for opening an account in your bank?,0.608757246,,,,,,,,,,,
112,1,Is there any maximum age limit to start using this service?,0.530479553,,,,,,,,,,,
113,1,What are the eligibility criteria regarding age to get started with the service?,0.501392389,,,,,,,,,,,
114,1,"Can teenagers use this platform, and if so, how do they sign up for accounts?",0.511941735,,,,,,,,,,,
115,1,How old does one have to be before they can set up their own savings plan/account?,0.466322077,,,,,,,,,,,
116,1,Are accounts available only to certain ages or can anyone sign up?,0.617052079,,,,,,,,,,,
117,1,What is the minimum age requirement for an account?,0.622796444,,,,,,,,,,,
118,1,Can I create an account for my young child?,0.633007918,,,,,,,,,,,
119,1,What are the age guidelines for opening an account?,0.618257292,,,,,,,,,,,
120,1,Is there a maximum age limit to open an account?,0.623462561,,,,,,,,,,,
121,1,At what age are children eligible to have their own account with you?,0.656116809,,,,,,,,,,,
122,1,Are there any restrictions on who can open an account with you based on their age?,0.611273944,,,,,,,,,,,
123,1,What is the age criteria for creating an account?,0.604965383,,,,,,,,,,,
124,1,Is there a minimum age requirement to open an account here?,0.635462483,,,,,,,,,,,
125,1,Can I enroll my child for your service?,0.421873888,,,,,,,,,,,
126,1,What's the youngest age to register here?,0.495758379,,,,,,,,,,,
127,1,Am I eligible to create a profile at my current age?,0.495461921,,,,,,,,,,,
128,1,May I know the age limit for opening an account with you guys?,0.592848234,,,,,,,,,,,
129,1,Is it necessary to be of certain years of age to have an account here?,0.57002501,,,,,,,,,,,
130,1,Could you guide me on starting a savings plan for my child's future education costs with you guys?,0.269638661,,,,,,,,,,,
131,1,"Are children allowed access and control over their accounts, or do parents oversee them?",0.491678741,,,,,,,,,,,
132,1,How old do kids need to be in order to use your platform/services?,0.542535197,,,,,,,,,,,
133,1,What is the age requirement to start a new account?,0.608988502,,,,,,,,,,,
134,1,Is there an age limit for creating an account?,0.622078887,,,,,,,,,,,
135,1,What is the minimum age to open a bank account?,0.568325929,,,,,,,,,,,
136,1,Can minors open an account with your service?,0.573510135,,,,,,,,,,,
137,1,Do you have any specific age requirements for opening accounts?,0.626196582,,,,,,,,,,,
138,1,How young can someone be to open up an account with your bank?,0.595579997,,,,,,,,,,,
139,1,Can I set up accounts for my kids? What's the process like?,0.55737544,,,,,,,,,,,
140,1,"Are there any restrictions on who can open accounts, based on their ages?",0.601395514,,,,,,,,,,,
141,1,What's the earliest someone can start using your banking services?,0.424301641,,,,,,,,,,,
142,1,Are there any special arrangements for children who want to use your service?,0.418050679,,,,,,,,,,,
143,1,Is there a minimum age required to create an account?,0.61287238,,,,,,,,,,,
144,1,Are there any age restrictions for this service?,0.536915057,,,,,,,,,,,
145,1,Can underage children set up their own accounts?,0.598043178,,,,,,,,,,,
146,1,What's the youngest age to open an account here?,0.620566924,,,,,,,,,,,
147,1,Do you offer special accounts for teenagers or young adults?,0.494562818,,,,,,,,,,,
148,1,Is it possible for my child to have separate sub-accounts under my main account?,0.450227165,,,,,,,,,,,
149,1,What is the maximum age limit allowed for creating an account on this platform?,0.589798829,,,,,,,,,,,
150,1,What's the required age for opening an account?,0.637045122,,,,,,,,,,,
151,1,Is there a maximum age for signing up?,0.572538303,,,,,,,,,,,
152,1,What is the minimum age that one can open an account?,0.64301419,,,,,,,,,,,
153,1,How young is too young to have an account?,0.600690535,,,,,,,,,,,
154,1,Can my child have their own separate account?,0.558157102,,,,,,,,,,,
155,1,At what age can my child start saving with your service?,0.494006682,,,,,,,,,,,
156,1,Is there a limit on how many accounts I can open for my children?,0.534307625,,,,,,,,,,,
157,1,Is it necessary to provide ID when opening an account for a child?,0.48241215,,,,,,,,,,,
158,1,How old do kids need to be before they are eligible to bank with you?,0.519960581,,,,,,,,,,,
159,1,Can I customize services based on each of my children's age levels?,0.434094803,,,,,,,,,,,
160,1,What is the age requirement for account registration?,0.609204855,,,,,,,,,,,
161,1,Are there any restrictions on the age of account holders?,0.565815665,,,,,,,,,,,
162,1,Is it possible to open an account for my underage child?,0.626031981,,,,,,,,,,,
163,1,Can minors have accounts in your bank?,0.538545267,,,,,,,,,,,
164,1,What is the minimum age for opening accounts with your service?,0.60781732,,,,,,,,,,,
165,1,I'm considering opening a savings account for my child. Is this something you offer?,0.439904405,,,,,,,,,,,
166,1,What documentation do I need to open an account for my minor children?,0.546840237,,,,,,,,,,,
167,1,Is there a maximum age limit for opening an account with your bank?,0.578982784,,,,,,,,,,,
168,1,Can teenagers create their own bank accounts through your service?,0.515773044,,,,,,,,,,,
169,1,Do you have special rates or programs designed specifically for children's savings accounts?,0.396087874,,,,,,,,,,,
170,1,What is the minimum age for setting up an account?,0.621973097,,,,,,,,,,,
171,1,Is there an age requirement for creating an account?,0.617345807,,,,,,,,,,,
172,1,Can minors create accounts with your service?,0.575717717,,,,,,,,,,,
173,1,Is it possible to open accounts for teenagers?,0.549932634,,,,,,,,,,,
174,1,What is the age range for eligible account holders?,0.58690871,,,,,,,,,,,
175,1,At what age can my child get an account?,0.664875343,,,,,,,,,,,
176,1,Is there a maximum age requirement for opening an account?,0.635164967,,,,,,,,,,,
177,1,Can I sign up my grandchildren for an account?,0.571181122,,,,,,,,,,,
178,1,Are there any restrictions on how many accounts I can open for my children?,0.55099971,,,,,,,,,,,
179,1,What documentation is needed to open an account for a minor?,0.521122353,,,,,,,,,,,
180,1,Do you have special accounts designed specifically for children and teenagers?,0.525679275,,,,,,,,,,,
181,1,Is it possible to link my child's savings account with mine so that I can oversee their transactions?,0.411600126,,,,,,,,,,,
182,1,What is the minimum balance required in a minor's savings account?,0.415789988,,,,,,,,,,,
183,1,Do you offer any educational programs or resources to teach kids about money management when they open an account with your service?,0.368672646,,,,,,,,,,,
184,1,Can grandparents set up accounts as gifts for their grandchildren?,0.434040752,,,,,,,,,,,
185,1,What is the minimum age to open an account with your bank?,0.581929298,,,,,,,,,,,
186,1,Can my underage child have their own account?,0.610380263,,,,,,,,,,,
187,1,Is there a maximum age limit for opening an account?,0.623778414,,,,,,,,,,,
188,1,What documentation do I need to open an account for my child?,0.516230715,,,,,,,,,,,
189,1,Do you offer special features for children's accounts?,0.527911744,,,,,,,,,,,
190,1,How can I add my child as a joint holder of my account?,0.458614672,,,,,,,,,,,
191,1,Are there any restrictions on children's accounts?,0.591233066,,,,,,,,,,,
192,1,Can minors access all the banking services available to adults?,0.491214436,,,,,,,,,,,
193,1,What is the process of opening an account for a minor at your bank?,0.486496299,,,,,,,,,,,
194,1,What is the minimum age requirement for account opening?,0.620674283,,,,,,,,,,,
195,1,How young should a person be to apply for an account?,0.57692505,,,,,,,,,,,
196,1,Are there any age restrictions in creating an account?,0.625916614,,,,,,,,,,,
197,1,Can minors have their own accounts with your service?,0.552237665,,,,,,,,,,,
198,1,Is it possible to open an account on behalf of my child who is not yet of legal age?,0.580817395,,,,,,,,,,,
199,1,Do you allow underage individuals to create accounts under parental guidance?,0.577082495,,,,,,,,,,,
200,1,At what age can a child start using your platform's services independently through their own account?,0.591989798,,,,,,,,,,,
201,1,What is the lower limit that must be met before my children can use your services using their personal accounts?,0.537478581,,,,,,,,,,,
202,1,Can children and teenagers have separate accounts from adult users in your platform?,0.505406223,,,,,,,,,,,
203,1,Is there a specific required minimum age for setting up online accounts with your site?,0.556508886,,,,,,,,,,,
204,1,What is the age limit for opening an account?,0.635777746,,,,,,,,,,,
205,1,Is there a minimum age required to access your service?,0.522848414,,,,,,,,,,,
206,1,Are there any restrictions on the age of users for this service?,0.535134541,,,,,,,,,,,
207,1,Do you have an age limit for opening new accounts?,0.598030586,,,,,,,,,,,
208,1,How old do I need to be to sign up with your service?,0.528112614,,,,,,,,,,,
209,1,"Can minors enroll in this program, and if so, what are the requirements?",0.474709212,,,,,,,,,,,
210,1,What is the minimum age requirement for creating an account with you?,0.623269938,,,,,,,,,,,
211,1,Is there a maximum age limit to use your platform?,0.471079104,,,,,,,,,,,
212,1,Are there any special conditions that apply when setting up an account for someone under 18 years old?,0.570666276,,,,,,,,,,,
213,1,What's the minimum legal age one should be before creating an account on your platform?,0.560395546,,,,,,,,,,,
214,1,What is the minimum age to get started with a new account?,0.586362425,,,,,,,,,,,
215,1,Is there any special requirement for my child's account?,0.604790982,,,,,,,,,,,
216,1,What are the eligibility criteria for opening an account for my minor child?,0.608063718,,,,,,,,,,,
217,1,How old does my son need to be eligible for opening an account?,0.612162788,,,,,,,,,,,
218,1,Can I apply for a joint account with my children without age restriction?,0.522188875,,,,,,,,,,,
219,1,What are the necessary documents required to open an account for children under 18 years old?,0.561552074,,,,,,,,,,,
220,1,Can I set up automatic savings plan on behalf of my kids' accounts?,0.380039642,,,,,,,,,,,
221,1,Are there any exceptions or waivers allowed in case of age limits?,0.41231069,,,,,,,,,,,
222,1,"Is it possible to get prepaid debit cards issued by the bank, specifically designed and customized as per kids' requirements and preferences?",0.344217959,,,,,,,,,,,
223,1,In what ways can parents monitor children's banking activities when they are permitted their own accounts?,0.458977947,,,,,,,,,,,
224,1,Are there any age restrictions for opening an account?,0.645888227,,,,,,,,,,,
225,1,Is it possible to open an account for my underage child?,0.626031981,,,,,,,,,,,
226,1,What's the minimum age requirement for setting up an account?,0.620250139,,,,,,,,,,,
227,1,Do you offer accounts specifically designed for children and teenagers?,0.545535707,,,,,,,,,,,
228,1,Can my kids open their own accounts when they reach a certain age?,0.629872312,,,,,,,,,,,
229,1,Is there any way to waive the age limit for opening an account?,0.583044977,,,,,,,,,,,
230,1,How do I go about creating a joint account with my child?,0.509273613,,,,,,,,,,,
231,1,Would I be able to transfer funds from my own account into one set up for my children?,0.455044086,,,,,,,,,,,
232,1,Are there any exceptions made to your standard age limit policy when it comes to opening accounts?,0.557532145,,,,,,,,,,,
233,2,Is it possible to add funds through Apple Pay?,0.432693521,,,,,,,,,,,
234,2,Can top-up feature be used with Google Pay for adding funds?,0.551597059,,,,,,,,,,,
235,2,How do I deposit money using apple pay?,0.396586947,,,,,,,,,,,
236,2,How can I make a successful top-up with Google Pay?,0.552047808,,,,,,,,,,,
237,2,Are there any limitations on the amount of currency that Google Pay accepts for top-ups?,0.459814958,,,,,,,,,,,
238,2,What are the steps to follow while topping up from an Apple Watch?,0.344472912,,,,,,,,,,,
239,2,Can you provide assistance in using Google Play for making a successful top-up payment?,0.524843089,,,,,,,,,,,
240,2,"I am facing issues while trying to make a payment via google pay, can you help me please?",0.385666566,,,,,,,,,,,
241,2,Which cards are acceptable with Apple Pay when it comes to top-ups?,0.467774143,,,,,,,,,,,
242,2,What should I do if my Apple watch fails to process the top up transaction?,0.438005282,,,,,,,,,,,
243,2,How do I troubleshoot issues with Google Pay's top up feature?,0.563076154,,,,,,,,,,,
244,2,Can you guide me through the process of topping up my account with Google Pay?,0.505783905,,,,,,,,,,,
245,2,Is there a limit on how much I can top up using Apple Pay or Google Pay?,0.542838409,,,,,,,,,,,
246,2,What should I do if my Apple Watch fails to top up my account?,0.435511399,,,,,,,,,,,
247,2,Are there any fees associated with using Apple Pay or Google Pay for top ups?,0.523889416,,,,,,,,,,,
248,2,Why does my American Express card fail to register in Apple or Google Pay for top ups?,0.482886767,,,,,,,,,,,
249,2,Do all merchants accept payments made via Apple or Google Pay's top up feature?,0.514241827,,,,,,,,,,,
250,2,How secure are transactions made through Apple and Google pay when topping up accounts?,0.423637888,,,,,,,,,,,
251,2,Are there any rewards programs available when using these services for large deposits like Top Ups?,0.372248323,,,,,,,,,,,
252,2,Can I reverse a transaction made via the Top Up feature in either Apple or Android mobile payments system?,0.388702507,,,,,,,,,,,
253,2,Can I add funds using Google Pay?,0.405271739,,,,,,,,,,,
254,2,Is it possible to top up my account with Apple Pay?,0.613602904,,,,,,,,,,,
255,2,Why am I having trouble with my Google Pay Top Up feature?,0.594002032,,,,,,,,,,,
256,2,Can you help me troubleshoot my Apple Watch Top Up issue?,0.44723509,,,,,,,,,,,
257,2,What is the process for topping up with Google Play services?,0.284232102,,,,,,,,,,,
258,2,How do I activate Top Up on my Apple Pay account?,0.593391754,,,,,,,,,,,
259,2,"My American Express card isn't working with Apple Pay top ups, what should I do ?",0.515648827,,,,,,,,,,,
260,2,Which payment services can be used to top up accounts?,0.428537499,,,,,,,,,,,
261,2,Am I able to use an Apple Watch to initiate a Top Up transaction?,0.481292687,,,,,,,,,,,
262,2,What steps are necessary for setting up and using Apple Pay's Top Up feature?,0.592469583,,,,,,,,,,,
263,2,"My Google Pay account won't accept my credit card, what's wrong?",0.361177744,,,,,,,,,,,
264,2,"I'm having trouble topping up on Apple Pay, can you assist me with this issue?",0.545495814,,,,,,,,,,,
265,2,Is it possible to top up using Apple Wallet?,0.482786725,,,,,,,,,,,
266,2,"I want to add money to my account with Google Pay, how do I do that?",0.394404332,,,,,,,,,,,
267,2,Can I use my smartwatch for top ups on Google Play?,0.446344075,,,,,,,,,,,
268,2,Why does my Google Pay app keep crashing when I try to top up?,0.519844976,,,,,,,,,,,
269,2,Is there a limit on the amount of money I can add using Apple pay for one transaction?,0.345621508,,,,,,,,,,,
270,2,What is the minimum and maximum amount allowed when topping up through Google Play?,0.333047225,,,,,,,,,,,
271,2,How long does it take for a top-up using Apple pay or google play?,0.526182206,,,,,,,,,,,
272,2,Is it possible to add funds through Google Pay?,0.405598213,,,,,,,,,,,
273,2,Why won't my Apple Pay top-up work?,0.619201535,,,,,,,,,,,
274,2,How can I fix the issue with my top-up on Google Pay?,0.575347567,,,,,,,,,,,
275,2,Can I make a top-up transaction with Apple Pay?,0.551961933,,,,,,,,,,,
276,2,Am I able to use my American Express card for top-ups through Apple Pay in other countries besides the US?,0.45192238,,,,,,,,,,,
277,2,Where can I find help for adding funds from an Apple Watch?,0.380645752,,,,,,,,,,,
278,2,Could you please assist me with fixing the issue of adding funds via Apple pay on my watch?,0.458314226,,,,,,,,,,,
279,2,Is it feasible to perform a top-up using Google Play services?,0.418673387,,,,,,,,,,,
280,2,What are the steps involved in making a successful Top Up through an apple watch?,0.413264419,,,,,,,,,,,
281,2,Could you please elaborate on how we can add money using our mobile devices if we have issues with our Google Pay Top Up service?,0.511528279,,,,,,,,,,,
282,2,How can I fix the issue with my card not working on top-up?,0.340317214,,,,,,,,,,,
